,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка,category
72,Интервью book интервью каждый год интервью бук,15991079,34,3199,2111,MILKYCHEEKS,113014,167,5,https://www.wildberries.ru/catalog/15991079/detail.aspx?targetUrl=BP,Детское творчество и досуг
73,Тактильная развивающая книга для детей с окошками для малыше…,49417545,55,1395,627,Счастье внутри,53024,130,5,https://www.wildberries.ru/catalog/49417545/detail.aspx?targetUrl=BP,Детское творчество и досуг
74,6 минут для детей (оранжевый),60828659,25,1186,889,Альпина. Книги,1373532,403,5,https://www.wildberries.ru/catalog/60828659/detail.aspx?targetUrl=BP,Детское творчество и досуг
75,Современная детская энциклопедия. Что? Когда? Зачем? Почему?,4162102,69,4544,1408,Владис,5662,21,5,https://www.wildberries.ru/catalog/4162102/detail.aspx?targetUrl=BP,Детское творчество и досуг
76,Мини - книжки для малыша,109095543,70,2917,875,Издательство Робинс,8383,9,5,https://www.wildberries.ru/catalog/109095543/detail.aspx?targetUrl=BP,Детское творчество и досуг
77,Неизвестный Ван Гог. Последний год жизни художника,9878508,37,2299,1448,"Издательство Манн, Иванов и Фербер",4508,4,5,https://www.wildberries.ru/catalog/9878508/detail.aspx?targetUrl=BP,Детское творчество и досуг
78,Большая детская энциклопедия в вопросах и ответах,3938567,71,4544,1317,Владис,5662,21,5,https://www.wildberries.ru/catalog/3938567/detail.aspx?targetUrl=BP,Детское творчество и досуг
79,Детская энциклопедия. 1000+1 ответ на вопросы почемучек,10924037,71,3608,1046,Владис,5662,35,5,https://www.wildberries.ru/catalog/10924037/detail.aspx?targetUrl=BP,Детское творчество и досуг
80,Числа пиши и стирай. 4-5-6 лет,28558628,30,864,604,Национальное Образование,71839,50,5,https://www.wildberries.ru/catalog/28558628/detail.aspx?targetUrl=BP,Детское творчество и досуг
81,"""Пластилин""+""Гимнастика 6-7 лет""",120775142,60,2078,831,Домашняя школа 6-9,893873,1,5,https://www.wildberries.ru/catalog/120775142/detail.aspx?targetUrl=BP,Детское творчество и досуг
82,Суперраскладушки Развиваем малыша от 0 до 1 года 3 книжки -…,87456674,70,2997,899,Издательство Робинс,8383,24,5,https://www.wildberries.ru/catalog/87456674/detail.aspx?targetUrl=BP,Детское творчество и досуг
83,Тренировать логику и мышление 7-9 лет,123055775,60,1508,603,Филипок и Ко,51143,1,5,https://www.wildberries.ru/catalog/123055775/detail.aspx?targetUrl=BP,Детское творчество и досуг
84,Подарок юному шахматисту,110374477,38,1383,857,Эксмо,4481,2,4,https://www.wildberries.ru/catalog/110374477/detail.aspx?targetUrl=BP,Детское творчество и досуг
